Test Case,File Name,Temperature,Expected Output,Actual Output,Result
40,common_voice_en_41798305.mp3,0.6,The rank has a rather confusing history.,ランクは結構混乱的な歴史を持っています。,FAILED
40,common_voice_en_41798305.mp3,0.75,The rank has a rather confusing history.,ランクは結構混乱してる,FAILED
40,common_voice_en_41798305.mp3,1.0,The rank has a rather confusing history.,RUNはかなり迷った歴史だったね,FAILED
41,common_voice_en_41731588.mp3,0.0,,,PASSED
41,common_voice_en_41731588.mp3,0.25,,,PASSED
41,common_voice_en_41731588.mp3,0.4,,,PASSED
41,common_voice_en_41731588.mp3,0.5,,,PASSED
41,common_voice_en_41731588.mp3,0.6,,,PASSED
41,common_voice_en_41731588.mp3,0.75,,,PASSED
41,common_voice_en_41731588.mp3,1.0,,,PASSED
42,common_voice_en_41735538.mp3,0.0,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs. Cooney was refereed by Mills Lane.,FAILED
42,common_voice_en_41735538.mp3,0.25,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs. Cooney was refereed by Mills Lane.,FAILED
42,common_voice_en_41735538.mp3,0.4,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs. Cooney was refereed by Mills Lane.,FAILED
42,common_voice_en_41735538.mp3,0.5,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs. Cooney was refereed by Mills Lane.,FAILED
42,common_voice_en_41735538.mp3,0.6,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs Cooney was refereed by Mills Lane.,FAILED
42,common_voice_en_41735538.mp3,0.75,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs. Cooney was refereed by Mills Lane.,FAILED
42,common_voice_en_41735538.mp3,1.0,Holmes versus Cooney was refereed by Mills Lane.,Holmes vs Cooney was refereed by Mills Lane.,FAILED
43,common_voice_en_41307772.mp3,0.0,,,PASSED
43,common_voice_en_41307772.mp3,0.25,,,PASSED
43,common_voice_en_41307772.mp3,0.4,,,PASSED
43,common_voice_en_41307772.mp3,0.5,,,PASSED
43,common_voice_en_41307772.mp3,0.6,,,PASSED
43,common_voice_en_41307772.mp3,0.75,,,PASSED
43,common_voice_en_41307772.mp3,1.0,,,PASSED
44,common_voice_en_41307806.mp3,0.0,,,PASSED
44,common_voice_en_41307806.mp3,0.25,,,PASSED
44,common_voice_en_41307806.mp3,0.4,,,PASSED
44,common_voice_en_41307806.mp3,0.5,,,PASSED
44,common_voice_en_41307806.mp3,0.6,,,PASSED
44,common_voice_en_41307806.mp3,0.75,,,PASSED
44,common_voice_en_41307806.mp3,1.0,,,PASSED
45,common_voice_en_41547685.mp3,0.0,,,PASSED
45,common_voice_en_41547685.mp3,0.25,,,PASSED
45,common_voice_en_41547685.mp3,0.4,,,PASSED
45,common_voice_en_41547685.mp3,0.5,,,PASSED
45,common_voice_en_41547685.mp3,0.6,,,PASSED
45,common_voice_en_41547685.mp3,0.75,,,PASSED
45,common_voice_en_41547685.mp3,1.0,,,PASSED
46,common_voice_en_41547689.mp3,0.0,,,PASSED
46,common_voice_en_41547689.mp3,0.25,,,PASSED
46,common_voice_en_41547689.mp3,0.4,,,PASSED
46,common_voice_en_41547689.mp3,0.5,,,PASSED
46,common_voice_en_41547689.mp3,0.6,,,PASSED
46,common_voice_en_41547689.mp3,0.75,,,PASSED
46,common_voice_en_41547689.mp3,1.0,,,PASSED
47,common_voice_en_41587501.mp3,0.0,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sitio Polongan on the outskirts of the city.,FAILED
47,common_voice_en_41587501.mp3,0.25,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sitio Polongan on the outskirts of the city.,FAILED
47,common_voice_en_41587501.mp3,0.4,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sitio Bolongan on the outskirts of the city.,FAILED
47,common_voice_en_41587501.mp3,0.5,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,"A mosque is situated inside Sitio Pulongan, on the outskirts of the city.",FAILED
47,common_voice_en_41587501.mp3,0.6,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sitio Bolongan on the outskirts of the city.,FAILED
47,common_voice_en_41587501.mp3,0.75,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sitio Polongan on the outskirts of the city.,FAILED
47,common_voice_en_41587501.mp3,1.0,A mosque is situated inside Sitio Bolangan on the outskirts of the city.,A mosque is situated inside Sitio Bolongan on the outskirts of the city.,FAILED
48,common_voice_en_41654965.mp3,0.0,,,PASSED
48,common_voice_en_41654965.mp3,0.25,,,PASSED
48,common_voice_en_41654965.mp3,0.4,,,PASSED
48,common_voice_en_41654965.mp3,0.5,,,PASSED
48,common_voice_en_41654965.mp3,0.6,,,PASSED
48,common_voice_en_41654965.mp3,0.75,,,PASSED
48,common_voice_en_41654965.mp3,1.0,,,PASSED
49,common_voice_en_41684833.mp3,0.0,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".","A similar example is Charlotte Perkins Gilman's story, The Yellow Wallpaper.",FAILED
49,common_voice_en_41684833.mp3,0.25,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".","A similar example is Charlotte Perkins Gilman's story, The Yellow Wallpaper.",FAILED
49,common_voice_en_41684833.mp3,0.4,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".","A similar example is Charlotte Perkins Gilman's story, The Yellow Wallpaper.",FAILED
49,common_voice_en_41684833.mp3,0.5,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".",A similar example is Charlotte Perkins Gilman's story The Yellow Wallpaper.,FAILED
49,common_voice_en_41684833.mp3,0.6,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".","A similar example is Charlotte Perkins Gilman's story, The Yellow Wallpaper.",FAILED
49,common_voice_en_41684833.mp3,0.75,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".",A similar example is Charlotte Perkins Gilman story The Yellow Wallpaper.,FAILED
49,common_voice_en_41684833.mp3,1.0,"A similar example is Charlotte Perkins Gilman's story ""The Yellow Wallpaper"".",A similar example is Charlotte Perkins Gilman Story The Yellow Wallpaper.,FAILED
50,common_voice_en_41685590.mp3,0.0,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander.,FAILED
50,common_voice_en_41685590.mp3,0.25,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander.,FAILED
50,common_voice_en_41685590.mp3,0.4,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander.,FAILED
50,common_voice_en_41685590.mp3,0.5,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander.,FAILED
50,common_voice_en_41685590.mp3,0.6,,,PASSED
50,common_voice_en_41685590.mp3,0.75,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander.,FAILED
50,common_voice_en_41685590.mp3,1.0,The establishment was commanded by an officer of the rank of Lieutenant Commander.,The establishment was commanded by an officer of the rank of a lieutenant commander.,FAILED
